row_index,raw_T1,year,base_prefix,source_path,target_path
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-000.jpg,output\aeg\1-1997-0579-000-000.jpg
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-001.JPG,output\aeg\1-1997-0579-000-001.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-002.JPG,output\aeg\1-1997-0579-000-002.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-003.JPG,output\aeg\1-1997-0579-000-003.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-004.JPG,output\aeg\1-1997-0579-000-004.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-005.JPG,output\aeg\1-1997-0579-000-005.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-006.JPG,output\aeg\1-1997-0579-000-006.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-007.JPG,output\aeg\1-1997-0579-000-007.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-008.JPG,output\aeg\1-1997-0579-000-008.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-009.JPG,output\aeg\1-1997-0579-000-009.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-010.JPG,output\aeg\1-1997-0579-000-010.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-000-011.JPG,output\aeg\1-1997-0579-000-011.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-001-000.JPG,output\aeg\1-1997-0579-001-000.JPG
3538,1/1997/0579 0,1997,1-1997-0579-,images\1997\1-1997-0579-002-000.JPG,output\aeg\1-1997-0579-002-000.JPG
