row_index,raw_T1,year,base_prefix,source_path,target_path
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-000.JPG,output\schreibmaschinen\1-2024-0501-000-000.JPG
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-001.JPG,output\schreibmaschinen\1-2024-0501-000-001.JPG
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-002.JPG,output\schreibmaschinen\1-2024-0501-000-002.JPG
0,1/2024/0501 0,2024,1-2024-0501-,images\2024\1-2024-0501-000-003.JPG,output\schreibmaschinen\1-2024-0501-000-003.JPG
5,1/2024/0511 0,2024,1-2024-0511-,images\2024\1-2024-0511-000-000.JPG,output\schreibmaschinen\1-2024-0511-000-000.JPG
5,1/2024/0511 0,2024,1-2024-0511-,images\2024\1-2024-0511-000-001.JPG,output\schreibmaschinen\1-2024-0511-000-001.JPG
5,1/2024/0511 0,2024,1-2024-0511-,images\2024\1-2024-0511-000-002.JPG,output\schreibmaschinen\1-2024-0511-000-002.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-000-000.JPG,output\schreibmaschinen\1-2024-0512-000-000.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-000-001.JPG,output\schreibmaschinen\1-2024-0512-000-001.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-000-002.JPG,output\schreibmaschinen\1-2024-0512-000-002.JPG
8,1/2024/0512 0,2024,1-2024-0512-,images\2024\1-2024-0512-001-000.JPG,output\schreibmaschinen\1-2024-0512-001-000.JPG
12,1/2024/0777 0,2024,1-2024-0777-,images\2024\1-2024-0777-000-000.JPG,output\schreibmaschinen\1-2024-0777-000-000.JPG
12,1/2024/0777 0,2024,1-2024-0777-,images\2024\1-2024-0777-000-001.JPG,output\schreibmaschinen\1-2024-0777-000-001.JPG
12,1/2024/0777 0,2024,1-2024-0777-,images\2024\1-2024-0777-000-002.JPG,output\schreibmaschinen\1-2024-0777-000-002.JPG
15,1/2024/0778 0,2024,1-2024-0778-,images\2024\1-2024-0778-000-000.JPG,output\schreibmaschinen\1-2024-0778-000-000.JPG
15,1/2024/0778 0,2024,1-2024-0778-,images\2024\1-2024-0778-000-001.JPG,output\schreibmaschinen\1-2024-0778-000-001.JPG
15,1/2024/0778 0,2024,1-2024-0778-,images\2024\1-2024-0778-000-002.JPG,output\schreibmaschinen\1-2024-0778-000-002.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-000.JPG,output\schreibmaschinen\1-2024-0779-000-000.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-001.JPG,output\schreibmaschinen\1-2024-0779-000-001.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-002.JPG,output\schreibmaschinen\1-2024-0779-000-002.JPG
18,1/2024/0779 0,2024,1-2024-0779-,images\2024\1-2024-0779-000-003.JPG,output\schreibmaschinen\1-2024-0779-000-003.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-000.JPG,output\schreibmaschinen\1-2025-0027-000-000.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-001.JPG,output\schreibmaschinen\1-2025-0027-000-001.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-002.JPG,output\schreibmaschinen\1-2025-0027-000-002.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-003.JPG,output\schreibmaschinen\1-2025-0027-000-003.JPG
22,1/2025/0027 0,2025,1-2025-0027-,images\2025\1-2025-0027-000-004.JPG,output\schreibmaschinen\1-2025-0027-000-004.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-000.JPG,output\schreibmaschinen\1-2025-0028-000-000.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-001.JPG,output\schreibmaschinen\1-2025-0028-000-001.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-002.JPG,output\schreibmaschinen\1-2025-0028-000-002.JPG
27,1/2025/0028 0,2025,1-2025-0028-,images\2025\1-2025-0028-000-003.JPG,output\schreibmaschinen\1-2025-0028-000-003.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-000.JPG,output\schreibmaschinen\1-2025-0040-000-000.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-001.JPG,output\schreibmaschinen\1-2025-0040-000-001.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-002.JPG,output\schreibmaschinen\1-2025-0040-000-002.JPG
31,1/2025/0040 0,2025,1-2025-0040-,images\2025\1-2025-0040-000-003.JPG,output\schreibmaschinen\1-2025-0040-000-003.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-000.JPG,output\schreibmaschinen\1-2025-0042-000-000.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-001.JPG,output\schreibmaschinen\1-2025-0042-000-001.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-002.JPG,output\schreibmaschinen\1-2025-0042-000-002.JPG
35,1/2025/0042 0,2025,1-2025-0042-,images\2025\1-2025-0042-000-003.JPG,output\schreibmaschinen\1-2025-0042-000-003.JPG
39,1/2025/0043 0,2025,1-2025-0043-,images\2025\1-2025-0043-000-000.JPG,output\schreibmaschinen\1-2025-0043-000-000.JPG
39,1/2025/0043 0,2025,1-2025-0043-,images\2025\1-2025-0043-000-001.JPG,output\schreibmaschinen\1-2025-0043-000-001.JPG
39,1/2025/0043 0,2025,1-2025-0043-,images\2025\1-2025-0043-000-002.JPG,output\schreibmaschinen\1-2025-0043-000-002.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-000.JPG,output\schreibmaschinen\1-2025-0044-000-000.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-001.JPG,output\schreibmaschinen\1-2025-0044-000-001.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-002.JPG,output\schreibmaschinen\1-2025-0044-000-002.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-003.JPG,output\schreibmaschinen\1-2025-0044-000-003.JPG
42,1/2025/0044 0,2025,1-2025-0044-,images\2025\1-2025-0044-000-004.JPG,output\schreibmaschinen\1-2025-0044-000-004.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-000.JPG,output\schreibmaschinen\1-2025-0045-000-000.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-001.JPG,output\schreibmaschinen\1-2025-0045-000-001.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-002.JPG,output\schreibmaschinen\1-2025-0045-000-002.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-003.JPG,output\schreibmaschinen\1-2025-0045-000-003.JPG
47,1/2025/0045 0,2025,1-2025-0045-,images\2025\1-2025-0045-000-004.JPG,output\schreibmaschinen\1-2025-0045-000-004.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-000.JPG,output\schreibmaschinen\1-2025-0046-000-000.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-001.JPG,output\schreibmaschinen\1-2025-0046-000-001.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-002.JPG,output\schreibmaschinen\1-2025-0046-000-002.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-003.JPG,output\schreibmaschinen\1-2025-0046-000-003.JPG
52,1/2025/0046 0,2025,1-2025-0046-,images\2025\1-2025-0046-000-004.JPG,output\schreibmaschinen\1-2025-0046-000-004.JPG
57,1/2025/0299 0,2025,1-2025-0299-,images\2025\1-2025-0299-000-000.JPG,output\schreibmaschinen\1-2025-0299-000-000.JPG
57,1/2025/0299 0,2025,1-2025-0299-,images\2025\1-2025-0299-000-001.JPG,output\schreibmaschinen\1-2025-0299-000-001.JPG
57,1/2025/0299 0,2025,1-2025-0299-,images\2025\1-2025-0299-000-002.JPG,output\schreibmaschinen\1-2025-0299-000-002.JPG
